Key,english,german,latam,french,italian,japanese,polish,brazilian,russian,turkish,schinese,tchinese,spanish,bulgarian,czech,danish,greek,estonian,finnish,hungarian,indonesian,lithuanian,latvian,dutch,romanian,slovak,slovenian,swedish
ocbPushButtonVariantHelper,Push Button,Lichtschalter,Pulsador,Bouton poussoir,Pulsante,"プッシュボタン",Przycisk,"Botão de pressão","Кнопка","Basmalı Düğme","按钮","按鈕",Pulsador,"Бутон за натискане","Tlačítko",Trykknap,"Κουμπί πίεσης",Vajutusnupp,Painike,"Nyomógomb",Tombol Tekan,Mygtukas,Pogas poga,Drukknop,"Buton de apăsare","Tlačidlo","Tlačni gumb",Tryckknapp
ocbPushButton01White,NAND Gate,"Lichtschalter (Weiß)",Pulsador (Blanco),Bouton poussoir (blanc),Pulsante (bianco),"プッシュボタン（白）","Przycisk (biały)","Botão de pressão (branco)","Кнопка (белая)","Basmalı Düğme (Beyaz)","按钮（白色）","按鈕（白色）",Pulsador (Blanco),"Бутон за натискане (бял)","Tlačítko (bílé)",Trykknap (hvid),"Κουμπί πίεσης (λευκό)",Vajutusnupp (valge),Painike (valkoinen),"Nyomógomb (fehér)",Tombol Tekan (Putih),Mygtukas (baltas),Pogas poga (balta),Drukknop (Wit),"Buton de apăsare (alb)","Tlačidlo (biele)",Tipka (bela),Tryckknapp (vit)
ocbPushButton01Brown,Push Button (Brown),Lichtschalter (Braun),"Pulsador (Marrón)",Bouton poussoir (marron),Pulsante (marrone),"プッシュボタン（茶）","Przycisk (brązowy)","Botão de pressão (marrom)","Кнопка (коричневая)","Basmalı Düğme (Kahverengi)","按钮（棕色）","按鈕（棕色）","Pulsador (Marrón)","Бутон за натискане (кафяв)","Tlačítko (hnědé)",Trykknap (brun),"Κουμπί πίεσης (καφέ)",Vajutusnupp (pruun),Painike (ruskea),"Nyomógomb (barna)",Tombol Tekan (Coklat),Mygtukas (rudas),"Poga (brūna)",Drukknop (Bruin),"Buton de apăsare (maro)","Tlačidlo (hnedé)",Tipka (rjava),Tryckknapp (brun)
ocbPushButton01Red,NOR Gate,Lichtschalter (rot),Pulsador (Rojo),Bouton poussoir (rouge),Pulsante (rosso),"プッシュボタン（赤）",Przycisk (czerwony),"Botão de pressão (vermelho)","Кнопка (красная)","Basmalı Düğme (Kırmızı)","按钮（红色）","按鈕（紅色）",Pulsador (Rojo),"Бутон за натискане (червен)","Tlačítko (červené)","Trykknap (rød)","Κουμπί πίεσης (κόκκινο)",Vajutusnupp (punane),Painike (punainen),"Nyomógomb (piros)",Tombol Tekan (Merah),Mygtukas (raudonas),Pogas poga (sarkana),Drukknop (Rood),"Buton de apăsare (roșu)","Tlačidlo (červené)","Tipka (rdeča)","Tryckknapp (röd)"
ocbPushButton01Yellow,AND Gate,Lichtschalter (gelb),Pulsador (amarillo),Bouton poussoir (jaune),Pulsante (giallo),"プッシュボタン（黄）","Przycisk (żółty)","Botão de pressão (amarelo)","Нажимная кнопка (желтая)","Basmalı Düğme (Sarı)","按钮（黄色）","按鈕（黄色）",Pulsador (amarillo),"Бутон за натискане (жълт)","Tlačítko (žluté)",Trykknap (gul),"Κουμπί πίεσης (κίτρινο)",Vajutusnupp (kollane),Painike (keltainen),"Nyomógomb (sárga)",Tombol Tekan (Kuning),Mygtukas (geltonas),Pogas poga (dzeltena),Drukknop (Geel),"Buton de apăsare (galben)","Tlačidlo (žlté)",Tipka (rumena),Tryckknapp (gul)
ocbPushButton01Green,OR Gate,"Lichtschalter (grün)",Pulsador (Verde),Bouton poussoir (vert),Pulsante (verde),"プッシュボタン（緑）",Przycisk (zielony),"Botão de pressão (verde)","Кнопка (зеленая)","Basmalı Düğme (Yeşil)","按钮（绿色）","按鈕（緑色）",Pulsador (Verde),"Бутон за натискане (зелен)","Tlačítko (zelené)","Trykknap (grøn)","Κουμπί πίεσης (πράσινο)",Vajutusnupp (roheline),"Painike (vihreä)","Nyomógomb (zöld)",Tombol Tekan (Hijau),"Mygtukas (žalias)","Pogas poga (zaļa)",Drukknop (Groen),"Buton de apăsare (verde)","Tlačidlo (zelené)",Tipka (zelena),"Tryckknapp (grön)"
ocbPushButton01Blue,Push Button (Blue),Lichtschalter (blau),Pulsador (Azul),Bouton poussoir (bleu),Pulsante (blu),"プッシュボタン（青）",Przycisk (niebieski),"Botão de pressão (azul)","Кнопка (синяя)","Basmalı Düğme (Mavi)","按钮（蓝色）","按鈕（藍色）",Pulsador (Azul),"Бутон за натискане (син)","Tlačítko (modré)","Trykknap (blå)","Κουμπί πίεσης (μπλε)",Vajutusnupp (sinine),Painike (sininen),"Nyomógomb (kék)",Tombol Tekan (Biru),"Mygtukas (mėlynas)",Pogas poga (zila),Drukknop (Blauw),"Buton de apăsare (albastru)","Tlačidlo (modré)",Tipka (modra),"Tryckknapp (blå)"
ocbPushButton01Purple,Push Button (Purple),Lichtschalter (Violett),Pulsador (morado),Bouton poussoir (violet),Pulsante (viola),"プッシュボタン（パープル）",Przycisk (fioletowy),"Botão de pressão (roxo)","Кнопка (фиолетовая)","Basmalı Düğme (Mor)","按钮（紫色）","按鈕（紫色）",Pulsador (morado),"Бутон за натискане (лилав)","Tlačítko (fialové)",Trykknap (lilla),"Κουμπί πίεσης (μωβ)",Vajutusnupp (lilla),Painike (violetti),"Nyomógomb (lila)",Tombol Tekan (Ungu),"Mygtukas (violetinės spalvos)",Pogas poga (violeta),Drukknop (Paars),"Buton de apăsare (violet)","Tlačidlo (fialové)","Tipka (vijolična)",Tryckknapp (lila)
ocbPushButton01Grey,Push Button (Grey),Lichtschalter (Grau),Pulsador (Gris),Bouton poussoir (gris),Pulsante (grigio),"プッシュボタン（グレー）",Przycisk (szary),"Botão de pressão (cinza)","Кнопка (серая)","Basmalı Düğme (Gri)","按钮（灰色）","按鈕（灰色）",Pulsador (Gris),"Бутон за натискане (сив)","Tlačítko (šedé)","Trykknap (grå)","Κουμπί πίεσης (γκρι)",Surunupp (hall),Painike (harmaa),"Nyomógomb (szürke)",Tombol Tekan (Abu-abu),Mygtukas (pilkas),"Nospiedpoga (pelēka)",Drukknop (Grijs),"Buton de apăsare (gri)","Tlačidlo (sivé)",Tipka (siva),"Tryckknapp (grå)"
ocbPushButton01ArmyGreen,Push Button (Army Green),"Lichtschalter (Armeegrün)",Pulsador (verde militar),"Bouton poussoir (vert armée)",Pulsante (verde militare),"プッシュボタン（アーミーグリーン）",Przycisk (zielony wojskowy),"Botão de pressão (verde exército)","Кнопка (армейский зеленый)","Basmalı Düğme (Ordu Yeşili)","按钮（军绿色）","按鈕（軍緑色）",Pulsador (verde militar),"Бутон за натискане (армейско зелено)","Tlačítko (armádní zelená)","Trykknap (armygrøn)","Κουμπί πίεσης (Στρατιωτικό πράσινο)",Surunupp (armee roheline),"Painike (armeijan vihreä)","Nyomógomb (hadsereg zöld)",Tombol Tekan (Hijau Tentara),"Mygtukas (žalios spalvos)","Pogas poga (armijas zaļā krāsā)",Drukknop (Legergroen),"Buton de apăsare (Army Green)","Tlačidlo (armádne zelené)","Tipka (vojaško zelena)","Tryckknapp (armégrön)"
ocbPushButtonBlueprint,Push Button,Lichtschalter,Pulsador,Bouton poussoir,Pulsante,"プッシュボタン",Przycisk,"Botão de pressão","Кнопка","Basmalı Düğme","按钮","按鈕",Pulsador,"Бутон за натискане","Tlačítko",Trykknap,"Κουμπί πίεσης",Vajutusnupp,Painike,"Nyomógomb",Tombol Tekan,Mygtukas,Pogas poga,Drukknop,"Buton de apăsare","Tlačidlo","Tlačni gumb",Tryckknapp
